s.no,motherBoard,MRP
289,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹6,750"
290,Blue Feather MB H-61 Motherboard,"₹3,000"
291,FOXI FOXIN - G41 DDR3 Motherboard,"₹3,299"
292,ZEBRONICS ZEB-H61M2 built in NVMe Slot + SCUDA 512GB NVMe SSD Combo Set Motherboard,"₹5,999"
293,ZEBRONICS H61 kit Motherboard,"₹7,180"
294,ZEBRONICS ZEB55 Motherboard,"₹2,399"
295,LAPCARE (LPMH510) Motherboard,"₹7,499"
296,Enter ENTERG41 Motherboard,"₹2,700"
297,ZEBRONICS H61M2+ Starlite 256GB NVME SSD & 4GB DDR3 RAM with Core i3(3rd Gen) CPU comboset Motherboard,"₹6,999"
298,ZEBRONICS H61M2+ Starlite 128GB NVME SSD & 4GB DDR3 RAM with PENTIUM DUALCORE CPU comboset Motherboard,"₹5,850"
299,KRYSTAA KST-H613 Motherboard,"₹2,430"
300,ZEBRONICS Zeb-h61m2p Motherboard,"₹2,299"
301,zebion Marlin H55 Motherboard,"₹3,200"
302,ZEBRONICS ZEB-H81M2 with NVMe Slot + Starlite 4GB RAM + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹5,800"
303,ZEBRONICS ZEB H81 MB Motherboard,"₹2,849"
304,Raspberry Pi Zero 2W A-Tiny Computer Motherboard,"₹2,499"
305,Frantech Frontech_H61 Motherboard,"₹3,299"
306,ZEBRONICS H55+128GB SATA SSD + 4GB starlite DDR3 RAM with CORE i3 1ST GEN CPU Combo set Motherboard,"₹6,900"
307,nVIDIA Jetson Nano 4GB Developer Kit - B01 Model Motherboard,"₹19,500"
308,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,449"
