208,Bharti Flex Board HiLight Rainproof Power Supply 200 Watt 12 Volt For 130 LED Module Computer PSU Cabinet,₹848
209,AL QURAISH 5V 40A 200Watt SMPS RAINPROOF POWER SUPPLY FOR LED DRIVERS ETC. 200 Watts PSU,"₹1,249"
210,skarsh Power Cable Desktops PC and Printers Monitor SMPS Power Cable Mains Power Cable 1000 Watts PSU,₹284
211,Micrologics ML 305 150 Watts PSU,"₹8,700"
212,Sparkle Controls LRS-100-24 100 Watts PSU,"₹1,349"
213,DHRUV-PRO Led Indicator 5 Volt / 10 Amp DC Output Power Supply Metal Case Type LED Driver Power Supply Adaptor AC Input 100/240vAC 50 Watts PSU,₹525
214,Micrologics ML 302D 120 Watts PSU,"₹8,300"
215,Micrologics Ml 302M 100 Watts PSU,"₹9,200"
216,Micrologics ML 3010 300 Watts PSU,"₹21,800"
217,ARS INFOTECH Aykait SMPS (DSATA- 20+4 Pin) Power Supply (Silver) 240 Watts PSU,₹597
218,HUBX TTP223 TOUCH SENSOR 5 Watts PSU,₹169
219,iBAT SOLUTIONS Mornsun 12V 29A 348W AC DC Enclosed Single Output SMPS LM350-12B12 348 Watts PSU,"₹2,899"
220,Bharti Flex Board HiLight Rainproof Power Supply 400 Watt 12 Volt For 255 LED Module Electrical Instruments Cabinet,"₹1,299"
221,AL QURAISH 5V 80A 400Watt SMPS RAINPROOF POWER SUPPLY 400 Watts PSU,"₹1,649"
222,CLANCOR CCSMPS 240 Watts PSU,₹950
223,RNS INNOVATIONS 5V/20AMP DC POWER SUPPLY 5 Watts PSU,₹799
224,Micrologics ML 125 18 Watts PSU,"₹2,000"
225,DHRUV-PRO Led Indicator 5 Volt / 5 Amp DC Output Power Supply Metal Case Type LED Driver Power Supply Adaptor AC Input 100/240vAC 25 Watts PSU,₹490
226,iBAT SOLUTIONS Mornsun 24V 14.6A 350W AC DC Enclosed Single Output SMPS LM350-12B24 350 Watts PSU,"₹2,999"
227,SUPERTRON Corsair Premium Individually ATX 24-Pin Cable Type 4 Gen 4 – (CP-8920229) 12 Watts PSU,"₹2,199"
228,Bright Electronic Components 12V 50A Rainproof Power Supply | 600W Rainproof Power Supply 600 Watts PSU,"₹2,045"
229,SHETTI N-450 450 Watts PSU,₹799
230,fyb er FYBER 8CH CCTV POWER SUPPLY (SMPS) PS-1208 12 Watts PSU,₹950
231,HUBX DS1307 RTC I2C 5 Watts PSU,₹299
232,Xsentuals NVIDIA PCI-E VER009S-PLUS / 009S Plus / 8 Capacitor / 3 Power Supply / 1X to 16X Riser Card USB 3.0 PCIE Riser Graphics Extension Riser Adapter Card - GPU Riser - Mining Bitcoin Ethereum BTC ETH 16 GB GDDR4 Graphics Card,₹699
233,HUBX COMBO BATTERY CASE AND TP4056 5 Watts PSU,₹265
234,HUBX BATTERY SPACERS 40 PCS 5 Watts PSU,₹249
235,sheetal traders Led Indicator 12 Volts / 5 Amp DC Output Power Supply High Quality Metal Case Type Power LED Driver Power Supply Adaptor for CCTV Camera AC Input 100/240vAC 60 Watts PSU  (White) 60 Watts PSU,₹599
236,HUBX BATTERY SPACER 10 PCS 5 Watts PSU,₹129
237,SECUREYE POWER SUPPLY 8CH STEEL S-10B 120 Watts PSU,₹650
238,RNS INNOVATIONS T-8000S Pixel led Controller 5 Watts PSU,"₹3,499"
239,Micrologics ML 302 30 Watts PSU,"₹4,200"
240,FINGERS Gamma-12-407 267 Watts PSU,"₹1,099"
241,Micrologics ML 444t 20 Watts PSU,"₹8,700"
242,"SHREE INDUSTRIESS DC Switching Switch Power Supply LED Strip, Amplifier Board, Power Supply 120 Watts PSU",₹648
243,Circle CG 500W 80 PLUS WHITE 500 Watts PSU,"₹4,600"
244,DHRUV-PRO Led Indicator 24 Volt / 20 Amp DC Output Power Supply Metal Case Type Power Supply Adaptor for CCTV Camera AC Input 100/240vAC 480 Watts PSU,"₹2,897"
245,Bharti Flex Board HiLight Rainproof Power Supply 12 Volt For 390 LED Module 400 Watts For LED Board Advertising Agency Cabinet,"₹2,498"
246,Riptu 100 Amp Rainproof power supply Smps adapter 5v 500 Watts PSU,"₹2,155"
247,JIVO POESWITCH@01 65 Watts PSU,"₹2,500"
248,DHRUV-PRO Led Indicator 24 Volt / 3 Amp DC Output Power Supply Metal Case Type Power Supply Adaptor AC Input 100/240vAC 72 Watts PSU,₹571
249,"Obvie RGB Gaming PC Fans, Dual Light Loop RGB LED Fans, Quite Cooling Computer Fans Cooler","₹1,298"
250,Ant Esports VS500L 500 Watts PSU,"₹2,020"
251,Ant Esports VS600L 600 Watts PSU,"₹2,306"
252,"COOLER MASTER CM MWE 650 Bronze V2 230v, 80 Plus Bronze Certified, Non-Modular Power Supply 650 Watts PSU","₹5,499"
253,"FCW 4 Channel CCTV Power Supply, 12V DC, 5 Amp, 60 Watts PSU",₹490
254,Foxin FPS 800 250 Watts PSU,"₹1,049"
255,ASUS ROG Thor 850P 850 Watts PSU,"₹19,349"
256,ASUS ROG Strix 850G 850 Watts PSU,"₹16,999"
257,"DHRUV-PRO Led Indicator 12 Volt / 30 Amp DC Output Power Supply, Metal Case Type Power LED Driver Power Supply Adaptor for CCTV Camera AC Input 100/240vAC 360 Watts PSU",₹999
258,Bharti Flex Board HiLight Rainproof Power Supply 700 Watt 12 Volt For 450 LED Module Electrical instrument Cabinet,"₹2,448"
259,M V COLLECTIONS 12 VOLT 30 AMP POWER SUPPLY FOR CAR AMPLIFIERS AND STERIO 450 Watts PSU,"₹1,499"
260,DHRUV-PRO Led Indicator 12 Volt / 20 Amp DC Output Power Supply Metal Case Type Power LED Driver Power Supply Adaptor for CCTV Camera AC Input 100/240vAC 240 Watts PSU,₹899
261,"COOLER MASTER G700 Gold 80 Plus Gold Certified Power Supply, Intel ATX 12V 2.52 700 Watts PSU","₹6,789"
262,"Jantasales Power Supply for 130 LED Strip Lights, CCTV, SMPS for Electric Board, 12 Volt 200 Watts PSU",₹798
263,Bharti Flex Board 12 Volt Hilight RainProof Power Supply for Sinage 200 Watts PSU,₹798
